weibo_id,file,meta_total_retweets,meta_crawled_retweets,coverage,log_meta_crawled_retweets,root_log_followers,root_verified,root_verified_type,pub_hour,pub_weekday,pub_is_weekend,pub_is_night,n_obs,time_to_5h,time_to_10h,time_to_20h,interval_mean,interval_std,interval_min,interval_max,interval_burstiness,interval_q10,interval_q50,interval_q90,bin_inc_1,bin_cum_1,bin_inc_2,bin_cum_2,bin_inc_3,bin_cum_3,bin_inc_4,bin_cum_4,bin_inc_5,bin_cum_5,bin_inc_6,bin_cum_6,bin_inc_7,bin_cum_7,bin_inc_8,bin_cum_8,bin_inc_9,bin_cum_9,bin_inc_10,bin_cum_10,bin_inc_11,bin_cum_11,bin_inc_12,bin_cum_12,max_depth,mean_depth,depth_entropy,max_out_degree,top5_mean_out_degree,gini_out_degree,hhi_out_degree,max_log_followers,mean_log_followers,top5_mean_log_followers,time_of_max_follower_h,verified_ratio,verified_early10
5241711085490281,retweet_tree_5241711085490281.json,473.0,378.0,0.7991543340380549,5.937536205082426,18.75512371586511,1,3,22,0,0,1,274,0.050555555555555555,0.06583333333333333,0.09055555555555556,26.19047619047619,41.86854078937849,0.0,276.0,0.23035984494961156,1.0,10.0,67.20000000000005,36,36,76,112,46,158,31,189,16,205,11,216,21,237,7,244,8,252,9,261,4,265,9,274,2,1.010948905109489,0.0603177511875182,271.0,137.0,0.4890510948905109,0.9783419468272078,0.0,0.0,0.0,0.011666666666666667,0.0,0.0
5241716236881246,retweet_tree_5241716236881246.json,416.0,186.0,0.44711538461538464,5.231108616854587,17.069055677051747,1,0,23,0,0,1,154,0.035277777777777776,0.07444444444444444,0.12472222222222222,42.326797385620914,117.20580358075803,0.0,1036.0,0.4693649181518558,3.0,12.0,75.20000000000005,25,25,32,57,48,105,13,118,14,132,8,140,0,140,6,146,4,150,0,150,4,154,0,154,2,1.2857142857142858,0.5982695885832573,110.0,51.333333333333336,0.43722943722943725,0.5652723899477072,0.0,0.0,0.0,0.011944444444444445,0.0,0.0
5241890310193616,retweet_tree_5241890310193616.json,289.0,255.0,0.8823529411764706,5.545177444479562,14.88363717831649,1,2,10,1,0,0,117,0.07194444444444445,0.19416666666666665,0.24555555555555555,59.956896551724135,63.557927995319865,0.0,284.0,0.029154649709470126,4.0,38.5,156.5,8,8,26,34,19,53,9,62,7,69,8,77,9,86,6,92,9,101,9,110,4,114,3,117,1,1.0,-1.000088900581841e-12,117.0,117.0,0.0,0.9999999999999829,0.0,0.0,0.0,0.02388888888888889,0.0,0.0
5241918835134050,retweet_tree_5241918835134050.json,183.0,176.0,0.9617486338797814,5.176149732573829,14.511401969675171,1,0,12,1,0,0,75,0.11333333333333333,0.11777777777777777,0.12611111111111112,93.9054054054054,280.5218192081726,0.0,1710.0,0.49840503450399964,2.0,4.0,227.10000000000008,62,62,3,65,0,65,3,68,1,69,1,70,1,71,1,72,1,73,1,74,0,74,1,75,1,1.0,-1.000088900581841e-12,75.0,75.0,0.0,0.9999999999999736,0.0,0.0,0.0,0.04972222222222222,0.0,0.0
5241957494555283,retweet_tree_5241957494555283.json,379.0,346.0,0.9129287598944591,5.849324779946859,11.686164231155798,0,-1,14,1,0,0,184,0.006388888888888889,0.008888888888888889,0.011111111111111112,37.38251366120219,71.52435574487727,0.0,447.0,0.31349576266278384,0.0,9.0,97.60000000000002,107,107,18,125,17,142,7,149,9,158,2,160,6,166,4,170,4,174,3,177,3,180,4,184,1,1.0,-1.000088900581841e-12,184.0,184.0,0.0,0.9999999999999891,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0
5241962107242481,retweet_tree_5241962107242481.json,377.0,361.0,0.9575596816976127,5.8916442118257715,12.47639363269488,1,2,15,1,0,0,118,0.058055555555555555,0.07444444444444444,0.1622222222222222,60.572649572649574,78.00452717952422,1.0,575.0,0.12579183683363068,9.0,39.0,132.20000000000002,20,20,11,31,11,42,14,56,1,57,9,66,9,75,8,83,9,92,12,104,5,109,9,118,1,1.0,-1.000088900581841e-12,118.0,118.0,0.0,0.9999999999999831,0.0,0.0,0.0,0.008888888888888889,0.0,0.0
5241969297326297,retweet_tree_5241969297326297.json,122.0,114.0,0.9344262295081968,4.74493212836325,16.920944321498652,1,7,15,1,0,0,73,0.0575,0.10916666666666666,0.27555555555555555,96.09722222222223,101.6520699524475,1.0,486.0,0.028090354555194774,11.0,59.5,246.2,13,13,11,24,12,36,3,39,6,45,4,49,5,54,6,60,3,63,4,67,4,71,2,73,1,1.0,-1.000088900581841e-12,73.0,73.0,0.0,0.9999999999999727,0.0,0.0,0.0,0.025555555555555557,0.0,0.0
5241981926116283,retweet_tree_5241981926116283.json,171.0,144.0,0.8421052631578947,4.976733742420574,14.933832332336118,1,0,16,1,0,0,21,0.2852777777777778,0.38,1.8327777777777778,347.85,443.71536766264927,1.0,1943.0,0.12110859264310982,4.6000000000000005,225.0,655.6000000000004,1,1,8,9,1,10,0,10,0,10,2,12,1,13,2,15,2,17,1,18,2,20,1,21,1,1.0,-1.000088900581841e-12,21.0,21.0,0.0,0.999999999999905,0.0,0.0,0.0,0.043611111111111114,0.0,0.0
5241983396479474,retweet_tree_5241983396479474.json,234.0,197.0,0.8418803418803419,5.288267030694535,16.920916273125513,1,7,16,1,0,0,74,0.06222222222222222,0.11388888888888889,0.24666666666666667,93.08219178082192,114.14299532383696,0.0,543.0,0.10163245036607593,7.2,51.0,225.79999999999995,15,15,9,24,4,28,4,32,10,42,10,52,6,58,4,62,4,66,6,72,1,73,1,74,2,1.027027027027027,0.1242508373876309,72.0,37.0,0.472972972972973,0.9474068663257599,0.0,0.0,0.0,0.042222222222222223,0.0,0.0
5242014155149657,retweet_tree_5242014155149657.json,222.0,198.0,0.8918918918918919,5.293304824724492,18.755710240324195,1,3,18,1,0,0,75,0.05138888888888889,0.10361111111111111,0.31833333333333336,96.0,110.10277753817849,1.0,591.0,0.06842594605774338,9.900000000000002,55.5,252.00000000000009,13,13,7,20,3,23,6,29,6,35,7,42,14,56,5,61,2,63,3,66,3,69,6,75,1,1.0,-1.000088900581841e-12,75.0,75.0,0.0,0.9999999999999736,0.0,0.0,0.0,0.01138888888888889,0.0,0.0
5242015014981594,retweet_tree_5242015014981594.json,445.0,407.0,0.9146067415730337,6.0112671744041615,18.755710419153427,1,3,18,1,0,0,146,0.020555555555555556,0.051944444444444446,0.11444444444444445,48.689655172413794,68.74977288904223,0.0,360.0,0.17081246092352378,0.0,23.0,136.39999999999995,24,24,10,34,22,56,12,68,10,78,6,84,4,88,8,96,4,100,9,109,32,141,5,146,1,1.0,-1.000088900581841e-12,146.0,146.0,0.0,0.9999999999999865,0.0,0.0,0.0,0.0038888888888888888,0.0,0.0
5242029271417282,retweet_tree_5242029271417282.json,384.0,208.0,0.5416666666666666,5.342334251964811,14.616824463092177,1,0,19,1,0,0,44,0.06527777777777778,0.14944444444444444,0.5533333333333333,162.11627906976744,189.39563725020304,1.0,884.0,0.07760578493618984,6.200000000000001,84.0,414.20000000000005,11,11,5,16,2,18,5,23,8,31,2,33,3,36,3,39,1,40,2,42,1,43,1,44,1,1.0,-1.000088900581841e-12,44.0,44.0,0.0,0.9999999999999545,0.0,0.0,0.0,0.025833333333333333,0.0,0.0
5242245956503323,retweet_tree_5242245956503323.json,230.0,196.0,0.8521739130434782,5.2832037287379885,12.819919551078568,1,3,10,2,0,0,103,0.016944444444444446,0.042777777777777776,0.10694444444444444,63.166666666666664,104.44823122741691,0.0,805.0,0.2462881586267839,2.1000000000000014,28.5,158.20000000000005,26,26,19,45,19,64,7,71,8,79,8,87,4,91,3,94,3,97,3,100,3,103,0,103,1,1.0,-1.000088900581841e-12,103.0,103.0,0.0,0.9999999999999807,0.0,0.0,0.0,0.01,0.0,0.0
5242343663863036,retweet_tree_5242343663863036.json,327.0,246.0,0.7522935779816514,5.5093883366279774,9.062652099076578,1,0,16,2,0,0,45,0.16472222222222221,0.4361111111111111,0.8980555555555556,159.88636363636363,166.17244820162674,5.0,704.0,0.01927898997677294,17.799999999999997,81.0,384.8000000000001,5,5,4,9,4,13,3,16,3,19,2,21,1,22,1,23,3,26,9,35,3,38,7,45,2,1.0222222222222221,0.10656595882602,44.0,22.5,0.47777777777777786,0.9565432098765007,0.0,0.0,0.0,0.035833333333333335,0.0,0.0
5242366409837746,retweet_tree_5242366409837746.json,188.0,178.0,0.9468085106382979,5.187385805840755,16.25274506836016,1,7,18,2,0,0,70,0.035555555555555556,0.075,0.13111111111111112,96.92753623188406,171.42305654205242,0.0,1139.0,0.2776052012410674,5.0,44.0,216.20000000000002,21,21,13,34,12,46,4,50,6,56,0,56,3,59,3,62,4,66,0,66,2,68,2,70,1,1.0,-1.000088900581841e-12,70.0,70.0,0.0,0.9999999999999716,0.0,0.0,0.0,0.007222222222222222,0.0,0.0
5242371279162434,retweet_tree_5242371279162434.json,967.0,313.0,0.32368148914167527,5.749392985908253,12.200230614046541,1,0,18,2,0,0,132,0.018055555555555554,0.022222222222222223,0.043055555555555555,54.587786259541986,84.42575402344711,0.0,576.0,0.21464072998331057,2.0,27.0,149.0,44,44,21,65,15,80,8,88,11,99,7,106,9,115,5,120,1,121,3,124,3,127,5,132,1,1.0,-1.000088900581841e-12,132.0,132.0,0.0,0.9999999999999849,0.0,0.0,0.0,0.011944444444444445,0.0,0.0
5242437108761583,retweet_tree_5242437108761583.json,511.0,442.0,0.8649706457925636,6.093569770045136,13.411252720811175,1,0,22,2,0,1,272,0.01861111111111111,0.024722222222222222,0.03944444444444444,24.89667896678967,34.55340307766358,0.0,284.0,0.16243415952989243,2.0,11.0,69.0,70,70,57,127,34,161,20,181,15,196,22,218,12,230,16,246,11,257,6,263,5,268,4,272,2,1.0036764705882353,0.024279270491060035,271.0,136.0,0.4963235294117647,0.9926740916954943,0.0,0.0,0.0,0.012222222222222223,0.0,0.0
5242586144966415,retweet_tree_5242586144966415.json,353.0,343.0,0.9716713881019831,5.840641657373398,18.54617739305172,1,3,8,3,0,0,181,0.011111111111111112,0.035,0.10027777777777777,39.93333333333333,45.98388606651006,0.0,297.0,0.07042305111177467,5.0,23.0,101.29999999999998,34,34,31,65,25,90,14,104,17,121,6,127,13,140,11,151,5,156,9,165,6,171,10,181,1,1.0,-1.000088900581841e-12,181.0,181.0,0.0,0.9999999999999889,0.0,0.0,0.0,0.0019444444444444444,0.0,0.0
5242757014886669,retweet_tree_5242757014886669.json,301.0,164.0,0.5448504983388704,5.10594547390058,15.570496596997737,1,0,19,3,0,0,54,0.041666666666666664,0.058611111111111114,0.15666666666666668,129.03773584905662,175.85767854804516,2.0,791.0,0.15356066535657806,10.0,52.0,397.2000000000001,20,20,13,33,4,37,1,38,5,43,1,44,2,46,3,49,0,49,2,51,1,52,2,54,1,1.0,-1.000088900581841e-12,54.0,54.0,0.0,0.9999999999999629,0.0,0.0,0.0,0.0077777777777777776,0.0,0.0
